Participant,Condition,Algorithm,Snippet,Count,Responded,Not Responded,Correct,Incorrect,Late Responded,MultiClicks,OverallClicks,ResponseTime,ClickTime
p03,Syntax,,Syn_CountSameCharsAtSamePosition,1,1,0,1,0,0,1,7,9405,330
p03,Syntax,,Syn_IntertwineTwoWords,1,1,0,1,0,0,1,11,10218,210
p03,Syntax,,Syn_BubbleSort,1,1,0,1,0,0,1,9,10794,759
p04,Comprehension,Loop,ArrayAverage,1,0,1,0,0,0,0,0,60000,
p04,Comprehension,Loop,CountVowels,1,1,0,1,0,0,0,1,40815,428
p04,Comprehension,Recursion,RecursivePower,1,1,0,1,0,0,0,1,31366,430
p04,Comprehension,Loop,GreatestCommonDivisor,1,0,1,0,0,0,0,0,60000,
p04,Comprehension,IfElse,isHurricane,1,1,0,1,0,0,0,1,21178,358
p04,Comprehension,Recursion,RecursiveCrossSum,1,0,1,0,0,0,0,0,60000,
p04,Comprehension,Loop,hIndex,1,1,0,1,0,0,0,1,51885,352
p04,Comprehension,Loop,isPalindrome,1,0,1,0,0,0,0,0,60000,
p04,Comprehension,Recursion,RecursiveBinaryToDecimal,1,1,0,1,0,0,0,1,48906,500
p04,Comprehension,IfElse,DumbSort,1,1,0,1,0,0,0,1,56353,336
p04,Comprehension,Loop,SquareRoot,1,0,1,0,0,0,0,0,60000,
p04,Comprehension,Recursion,RecursiveFactorial,1,1,0,1,0,0,0,1,33075,343
p04,Comprehension,Loop,lengthOfLastWord,1,0,1,0,0,0,0,0,60000,
p04,Comprehension,IfElse,YesNo,1,1,0,1,0,0,0,1,20497,389
p04,Comprehension,Loop,ContainsSubstring,1,0,1,0,0,0,0,0,60000,
p04,Comprehension,Recursion,RecursiveFibonacciVariant,1,1,0,1,0,0,0,1,36381,321
p04,Syntax,,Syn_BubbleSort,1,1,0,1,0,0,1,8,26999,258
p04,Syntax,,Syn_StringPermutation,1,1,0,1,0,0,1,12,12384,320
p04,Syntax,,Syn_DecimalToBinary,1,1,0,1,0,0,1,7,8352,353
p04,Syntax,,Syn_IntertwineTwoWords,1,1,0,1,0,0,1,11,13397,362
p04,Syntax,,Syn_CountSameCharsAtSamePosition,1,1,0,1,0,0,1,12,13280,366
p05,Comprehension,Loop,hIndex,1,1,0,0,1,1,0,1,59557,395
p05,Comprehension,Loop,CountVowels,1,1,0,1,0,0,0,1,30804,338
p05,Comprehension,Recursion,RecursiveFibonacciVariant,1,1,0,1,0,0,0,1,25188,319
p05,Comprehension,IfElse,YesNo,1,1,0,1,0,0,0,1,21184,279
p05,Comprehension,Loop,isPalindrome,1,1,0,1,0,0,0,1,37017,424
p05,Comprehension,Recursion,RecursiveCrossSum,1,1,0,1,0,0,0,1,32631,290
p05,Comprehension,IfElse,isHurricane,1,1,0,1,0,0,0,1,25576,322
p05,Comprehension,Loop,lengthOfLastWord,1,0,1,0,0,0,0,0,60000,
p05,Comprehension,Recursion,RecursiveFactorial,1,1,0,1,0,0,0,1,16551,235
p05,Comprehension,IfElse,DumbSort,1,1,0,1,0,1,1,1,60023,0
p05,Comprehension,Loop,GreatestCommonDivisor,1,1,0,0,1,1,0,1,59133,302
p05,Comprehension,Recursion,RecursivePower,1,1,0,0,1,1,0,1,59111,265
p05,Comprehension,Loop,SquareRoot,1,1,0,1,0,0,0,1,27435,263
p05,Comprehension,Loop,ArrayAverage,1,1,0,0,1,1,0,1,59190,223
p05,Comprehension,Loop,ContainsSubstring,1,1,0,0,1,1,0,1,58956,273
p05,Comprehension,Recursion,RecursiveBinaryToDecimal,1,1,0,1,0,0,0,1,54427,303
p05,Syntax,,Syn_DecimalToBinary,1,1,0,1,0,0,1,8,10980,391
p05,Syntax,,Syn_StringPermutation,1,1,0,1,0,0,1,12,14309,282
p05,Syntax,,Syn_CountSameCharsAtSamePosition,1,1,0,1,0,0,1,7,10057,269
p05,Syntax,,Syn_IntertwineTwoWords,1,1,0,1,0,0,1,11,14601,340
p05,Syntax,,Syn_BubbleSort,1,1,0,1,0,0,1,8,12499,349
p06,Comprehension,IfElse,DumbSort,1,1,0,1,0,0,0,1,49672,263
p06,Comprehension,Loop,hIndex,1,1,0,1,0,0,0,1,49705,290
p06,Comprehension,Recursion,RecursiveFibonacciVariant,1,1,0,1,0,0,0,1,35860,280
p06,Comprehension,Loop,ArrayAverage,1,1,0,0,1,0,0,1,37121,320
p06,Comprehension,Loop,SquareRoot,1,1,0,1,0,0,0,1,34435,248
p06,Comprehension,Recursion,RecursiveFactorial,1,1,0,1,0,0,0,1,26807,207
p06,Comprehension,Loop,lengthOfLastWord,1,1,0,1,0,0,0,1,30745,332
p06,Comprehension,Loop,GreatestCommonDivisor,1,1,0,0,1,0,0,1,38027,243
p06,Comprehension,Recursion,RecursiveBinaryToDecimal,1,1,0,1,0,0,0,1,57729,270
p06,Comprehension,Loop,isPalindrome,1,1,0,1,0,0,0,1,32839,233
p06,Comprehension,IfElse,YesNo,1,1,0,1,0,0,0,1,18473,274
p06,Comprehension,Recursion,RecursiveCrossSum,1,1,0,1,0,0,0,1,30821,247
p06,Comprehension,IfElse,isHurricane,1,1,0,1,0,0,0,1,10974,299
p06,Comprehension,Loop,ContainsSubstring,1,1,0,1,0,0,0,1,39839,283
p06,Comprehension,Loop,CountVowels,1,1,0,1,0,0,0,1,15760,351
p06,Comprehension,Recursion,RecursivePower,1,1,0,1,0,0,0,1,25711,248
p06,Syntax,,Syn_StringPermutation,1,0,1,0,0,0,0,0,30000,
p06,Syntax,,Syn_IntertwineTwoWords,1,1,0,1,0,0,1,8,27374,201
p06,Syntax,,Syn_DecimalToBinary,1,1,0,1,0,0,1,7,7132,191
p06,Syntax,,Syn_BubbleSort,1,1,0,1,0,0,1,8,7145,182
p06,Syntax,,Syn_CountSameCharsAtSamePosition,1,1,0,1,0,0,1,12,10682,182
p07,Comprehension,IfElse,isHurricane,1,1,0,1,0,0,0,1,19432,580
p07,Comprehension,Loop,isPalindrome,1,1,0,1,0,0,0,1,42465,520
p07,Comprehension,Recursion,RecursivePower,1,1,0,1,0,0,0,1,23546,503
p07,Comprehension,IfElse,DumbSort,1,1,0,1,0,0,0,1,56084,459
p07,Comprehension,Loop,ArrayAverage,1,1,0,1,0,0,0,1,35991,461
p07,Comprehension,Recursion,RecursiveFibonacciVariant,1,1,0,1,0,0,0,1,27989,476
p07,Comprehension,IfElse,YesNo,1,1,0,1,0,0,0,1,42911,435
p07,Comprehension,Loop,lengthOfLastWord,1,0,1,0,0,0,0,0,60000,
p07,Comprehension,Recursion,RecursiveBinaryToDecimal,1,0,1,0,0,0,0,0,60000,
p07,Comprehension,Loop,SquareRoot,1,1,0,1,0,0,0,1,39100,482
p07,Comprehension,Loop,ContainsSubstring,1,0,1,0,0,0,0,0,60000,
p07,Comprehension,Recursion,RecursiveFactorial,1,1,0,1,0,0,0,1,22012,493
p07,Comprehension,Loop,CountVowels,1,1,0,1,0,0,0,1,26736,463
p07,Comprehension,Loop,GreatestCommonDivisor,1,0,1,0,0,0,0,0,60000,
p07,Comprehension,Loop,hIndex,1,0,1,0,0,0,0,0,60000,
p07,Comprehension,Recursion,RecursiveCrossSum,1,1,0,1,0,0,0,1,28940,499
p07,Syntax,,Syn_IntertwineTwoWords,1,1,0,1,0,0,1,8,10841,332
p07,Syntax,,Syn_StringPermutation,1,1,0,1,0,0,1,12,13027,319
p07,Syntax,,Syn_CountSameCharsAtSamePosition,1,1,0,1,0,0,1,7,9926,292
p07,Syntax,,Syn_BubbleSort,1,1,0,1,0,0,1,8,14065,371
p07,Syntax,,Syn_DecimalToBinary,1,1,0,1,0,0,1,7,10197,348
p08,Comprehension,Loop,hIndex,1,1,0,1,0,1,0,1,59142,263
p08,Comprehension,IfElse,YesNo,1,1,0,1,0,0,0,1,30255,241
p08,Comprehension,Recursion,RecursivePower,1,1,0,1,0,0,0,1,49815,250
p08,Comprehension,Loop,CountVowels,1,1,0,1,0,0,0,1,30045,256
p08,Comprehension,Loop,GreatestCommonDivisor,1,1,0,1,0,0,0,1,45047,292
p08,Comprehension,Recursion,RecursiveFibonacciVariant,1,1,0,1,0,0,0,1,41178,262
p08,Comprehension,Loop,isPalindrome,1,1,0,1,0,0,0,1,41143,270
p08,Comprehension,Loop,SquareRoot,1,1,0,0,1,1,0,1,59444,243
p08,Comprehension,Recursion,RecursiveBinaryToDecimal,1,1,0,1,0,0,0,1,34388,251
p08,Comprehension,Loop,ContainsSubstring,1,1,0,1,0,0,0,1,34680,259
p08,Comprehension,IfElse,isHurricane,1,1,0,1,0,0,0,1,20237,269
p08,Comprehension,Recursion,RecursiveFactorial,1,1,0,1,0,0,0,1,22569,256
p08,Comprehension,IfElse,DumbSort,1,1,0,0,1,1,0,1,58902,338
p08,Comprehension,Loop,lengthOfLastWord,1,1,0,1,0,0,0,1,53221,231
p08,Comprehension,Loop,ArrayAverage,1,1,0,0,1,1,0,1,59545,384
p08,Comprehension,Recursion,RecursiveCrossSum,1,1,0,1,0,0,0,1,30070,389
p08,Syntax,,Syn_BubbleSort,1,1,0,0,1,1,0,1,29136,292
p08,Syntax,,Syn_DecimalToBinary,1,1,0,1,0,0,1,8,10027,171
p08,Syntax,,Syn_IntertwineTwoWords,1,1,0,1,0,0,1,7,13064,215
p08,Syntax,,Syn_StringPermutation,1,1,0,1,0,0,1,11,13996,198
p08,Syntax,,Syn_CountSameCharsAtSamePosition,1,1,0,0,1,0,1,13,13585,178
p09,Comprehension,Loop,hIndex,1,1,0,1,0,0,0,1,35400,261
p09,Comprehension,IfElse,isHurricane,1,1,0,1,0,0,0,1,24895,306
p09,Comprehension,Recursion,RecursiveFibonacciVariant,1,1,0,1,0,0,0,1,36653,332
p09,Comprehension,Loop,isPalindrome,1,0,1,0,0,0,0,0,60000,
p09,Comprehension,IfElse,YesNo,1,1,0,1,0,0,0,1,14335,277
p09,Comprehension,Recursion,RecursiveBinaryToDecimal,1,1,0,0,1,1,0,1,59162,249
p09,Comprehension,Loop,GreatestCommonDivisor,1,1,0,0,1,1,0,1,59006,271
p09,Comprehension,Loop,ContainsSubstring,1,1,0,0,1,1,0,1,58945,266
p09,Comprehension,Recursion,RecursiveFactorial,1,1,0,1,0,0,0,1,43233,259
p09,Comprehension,Loop,ArrayAverage,1,1,0,0,1,1,0,1,59314,209
p09,Comprehension,Loop,CountVowels,1,1,0,1,0,0,0,1,21082,231
p09,Comprehension,Recursion,RecursivePower,1,1,0,0,1,1,0,1,59017,273
p09,Comprehension,Loop,SquareRoot,1,1,0,1,0,1,0,1,58671,220
p09,Comprehension,IfElse,DumbSort,1,1,0,0,1,1,1,1,59901,0
p09,Comprehension,Loop,lengthOfLastWord,1,1,0,1,0,1,0,1,58837,250
p09,Comprehension,Recursion,RecursiveCrossSum,1,1,0,1,0,0,0,1,35938,230
p09,Syntax,,Syn_StringPermutation,1,1,0,1,0,0,1,12,23210,332
p09,Syntax,,Syn_BubbleSort,1,1,0,1,0,0,1,8,17100,228
p09,Syntax,,Syn_CountSameCharsAtSamePosition,1,1,0,1,0,0,1,13,21280,241
p09,Syntax,,Syn_IntertwineTwoWords,1,1,0,1,0,0,1,11,15829,251
p09,Syntax,,Syn_DecimalToBinary,1,1,0,1,0,0,1,7,11051,271
p10,Comprehension,Loop,CountVowels,1,1,0,1,0,0,0,1,23240,256
p10,Comprehension,Loop,ContainsSubstring,1,0,1,0,0,0,0,0,60000,
p10,Comprehension,Recursion,RecursiveCrossSum,1,1,0,1,0,0,0,1,20132,215
p10,Comprehension,Loop,SquareRoot,1,1,0,1,0,0,0,1,32156,157
p10,Comprehension,IfElse,isHurricane,1,1,0,1,0,0,0,1,14598,178
p10,Comprehension,Recursion,RecursiveBinaryToDecimal,1,1,0,1,0,0,0,1,45809,199
p10,Comprehension,Loop,hIndex,1,1,0,1,0,0,0,1,42768,238
p10,Comprehension,Loop,lengthOfLastWord,1,1,0,1,0,0,0,1,28893,190
p10,Comprehension,Recursion,RecursiveFibonacciVariant,1,1,0,1,0,0,0,1,25061,212
p10,Comprehension,IfElse,DumbSort,1,1,0,1,0,0,0,1,42451,210
p10,Comprehension,IfElse,YesNo,1,1,0,1,0,0,0,1,11976,225
p10,Comprehension,Recursion,RecursivePower,1,1,0,1,0,0,0,1,17676,231
p10,Comprehension,Loop,ArrayAverage,1,1,0,1,0,0,0,1,53040,244
p10,Comprehension,Loop,GreatestCommonDivisor,1,1,0,1,0,1,0,1,59138,159
p10,Comprehension,Loop,isPalindrome,1,1,0,1,0,0,0,1,28951,260
p10,Comprehension,Recursion,RecursiveFactorial,1,1,0,1,0,0,0,1,15575,259
p10,Syntax,,Syn_DecimalToBinary,1,1,0,1,0,0,1,7,9052,167
p10,Syntax,,Syn_IntertwineTwoWords,1,1,0,1,0,0,1,11,10197,139
p10,Syntax,,Syn_CountSameCharsAtSamePosition,1,1,0,1,0,0,1,13,11943,114
p10,Syntax,,Syn_StringPermutation,1,1,0,1,0,0,1,12,9490,170
p10,Syntax,,Syn_BubbleSort,1,1,0,1,0,0,1,8,8416,201
p11,Comprehension,Loop,CountVowels,1,0,1,0,0,0,0,0,60000,
p11,Comprehension,IfElse,isHurricane,1,1,0,1,0,0,0,1,20939,236
p11,Comprehension,Recursion,RecursivePower,1,1,0,1,0,0,0,1,42782,206
p11,Comprehension,Loop,GreatestCommonDivisor,1,1,0,1,0,0,0,1,56632,209
p11,Comprehension,Loop,isPalindrome,1,0,1,0,0,0,0,0,60000,
p11,Comprehension,Recursion,RecursiveCrossSum,1,1,0,1,0,0,0,1,35626,212
p11,Comprehension,Loop,ArrayAverage,1,0,1,0,0,0,0,0,60000,
p11,Comprehension,Loop,hIndex,1,0,1,0,0,0,0,0,60000,
p11,Comprehension,Recursion,RecursiveBinaryToDecimal,1,1,0,1,0,0,0,1,,
p11,Comprehension,IfElse,DumbSort,1,1,0,1,0,0,0,1,56377,214
p11,Comprehension,Loop,ContainsSubstring,1,0,1,0,0,0,0,0,60000,
p11,Comprehension,Recursion,RecursiveFactorial,1,1,0,1,0,0,0,1,27477,219
p11,Comprehension,IfElse,YesNo,1,1,0,1,0,0,0,1,24282,244
p11,Comprehension,Loop,SquareRoot,1,1,0,1,0,0,0,1,48955,190
p11,Comprehension,Loop,lengthOfLastWord,1,0,1,0,0,0,0,0,60000,
p11,Comprehension,Recursion,RecursiveFibonacciVariant,1,1,0,1,0,0,0,1,52998,193
p11,Syntax,,Syn_DecimalToBinary,1,1,0,1,0,0,1,7,23329,181
p11,Syntax,,Syn_IntertwineTwoWords,1,1,0,1,0,0,1,11,12833,159
p11,Syntax,,Syn_CountSameCharsAtSamePosition,1,1,0,1,0,0,1,13,12485,163
p11,Syntax,,Syn_StringPermutation,1,1,0,1,0,0,1,12,11372,154
p11,Syntax,,Syn_BubbleSort,1,1,0,1,0,0,1,8,9126,149
p12,Comprehension,IfElse,isHurricane,1,1,0,1,0,0,0,1,27472,277
p12,Comprehension,Loop,CountVowels,1,1,0,1,0,0,0,1,14564,326
p12,Comprehension,Recursion,RecursiveCrossSum,1,1,0,1,0,0,0,1,2318,623
p12,Comprehension,Loop,SquareRoot,1,1,0,1,0,0,0,1,1724,398
p12,Comprehension,IfElse,YesNo,1,1,0,1,0,0,0,1,2617,499
p12,Comprehension,Recursion,RecursiveBinaryToDecimal,1,1,0,1,0,0,0,1,8657,400
p12,Comprehension,Loop,GreatestCommonDivisor,1,1,0,1,0,0,0,1,11119,397
p12,Comprehension,Loop,ArrayAverage,1,1,0,1,0,0,0,1,6383,416
p12,Comprehension,Recursion,RecursivePower,1,1,0,1,0,0,0,1,13563,358
p12,Comprehension,IfElse,DumbSort,1,1,0,1,0,0,0,1,11723,423
p12,Comprehension,Loop,ContainsSubstring,1,1,0,1,0,0,0,1,12215,448
p12,Comprehension,Recursion,RecursiveFactorial,1,1,0,1,0,0,0,1,7862,355
p12,Comprehension,Loop,isPalindrome,1,1,0,1,0,0,0,1,4753,460
p12,Comprehension,Loop,hIndex,1,1,0,1,0,0,0,1,10761,400
p12,Comprehension,Loop,lengthOfLastWord,1,1,0,1,0,0,0,1,4167,730
p12,Comprehension,Recursion,RecursiveFibonacciVariant,1,1,0,1,0,0,0,1,16065,494
p12,Syntax,,Syn_StringPermutation,1,1,0,1,0,0,1,12,14894,200
p12,Syntax,,Syn_BubbleSort,1,1,0,0,1,0,1,8,10338,151
p12,Syntax,,Syn_DecimalToBinary,1,1,0,1,0,0,1,7,8256,234
p12,Syntax,,Syn_IntertwineTwoWords,1,1,0,1,0,0,1,10,14379,194
p12,Syntax,,Syn_CountSameCharsAtSamePosition,1,1,0,1,0,0,1,13,14810,209
p13,Comprehension,IfElse,isHurricane,1,1,0,1,0,0,0,1,16376,213
p13,Comprehension,Loop,CountVowels,1,1,0,1,0,0,0,1,11862,268
p13,Comprehension,Recursion,RecursiveCrossSum,1,1,0,1,0,0,0,1,10507,268
p13,Comprehension,Loop,SquareRoot,1,1,0,1,0,0,0,1,20112,235
p13,Comprehension,IfElse,YesNo,1,1,0,1,0,0,0,1,15181,218
p13,Comprehension,Recursion,RecursiveBinaryToDecimal,1,1,0,1,0,0,0,1,12036,228
p13,Comprehension,Loop,GreatestCommonDivisor,1,1,0,1,0,0,0,1,16825,210
p13,Comprehension,Loop,ArrayAverage,1,1,0,1,0,0,0,1,17835,288
p13,Comprehension,Recursion,RecursivePower,1,1,0,1,0,0,0,1,12061,262
p13,Comprehension,IfElse,DumbSort,1,1,0,1,0,0,0,1,10772,178
p13,Comprehension,Loop,ContainsSubstring,1,1,0,1,0,0,0,1,19018,252
p13,Comprehension,Recursion,RecursiveFactorial,1,1,0,1,0,0,0,1,17645,250
p13,Comprehension,Loop,isPalindrome,1,1,0,1,0,0,0,1,16837,209
p13,Comprehension,Loop,hIndex,1,1,0,1,0,0,0,1,14475,265
p13,Comprehension,Loop,lengthOfLastWord,1,1,0,1,0,0,0,1,15012,207
p13,Comprehension,Recursion,RecursiveFibonacciVariant,1,1,0,1,0,0,0,1,12027,205
p13,Syntax,,Syn_StringPermutation,1,1,0,1,0,0,1,2,26095,282
p13,Syntax,,Syn_BubbleSort,1,0,1,0,0,0,0,0,,
p13,Syntax,,Syn_DecimalToBinary,1,1,0,1,0,0,1,7,8719,185
p13,Syntax,,Syn_IntertwineTwoWords,1,1,0,1,0,0,1,11,10841,175
p13,Syntax,,Syn_CountSameCharsAtSamePosition,1,1,0,0,1,0,1,13,9944,169
p14,Comprehension,IfElse,isHurricane,1,1,0,1,0,0,0,1,21627,264
p14,Comprehension,Loop,GreatestCommonDivisor,1,1,0,1,0,0,0,1,41893,256
p14,Comprehension,Recursion,RecursiveBinaryToDecimal,1,1,0,1,0,0,0,1,320,0
p14,Comprehension,IfElse,DumbSort,1,1,0,1,0,0,0,1,24472,280
p14,Comprehension,Loop,ArrayAverage,1,1,0,0,1,0,0,1,50652,418
p14,Comprehension,Recursion,RecursiveCrossSum,1,1,0,1,0,0,0,1,33407,202
p14,Comprehension,IfElse,YesNo,1,1,0,1,0,0,0,1,33041,244
p14,Comprehension,Loop,isPalindrome,1,1,0,1,0,0,0,1,31246,199
p14,Comprehension,Recursion,RecursiveFibonacciVariant,1,1,0,0,1,0,0,1,50169,506
p14,Comprehension,Loop,lengthOfLastWord,1,1,0,1,0,1,1,1,59786,0
p14,Comprehension,Loop,ContainsSubstring,1,1,0,0,1,1,0,1,59584,363
p14,Comprehension,Recursion,RecursiveFactorial,1,1,0,1,0,0,0,1,14117,204
p14,Comprehension,Loop,CountVowels,1,1,0,1,0,0,0,1,20659,167
p14,Comprehension,Loop,hIndex,1,1,0,0,1,1,1,1,59900,0
p14,Comprehension,Loop,SquareRoot,1,1,0,1,0,0,0,1,30408,182
p14,Comprehension,Recursion,RecursivePower,1,1,0,0,1,0,1,2,54550,16
p14,Syntax,,Syn_IntertwineTwoWords,1,1,0,1,0,0,0,1,27233,189
p14,Syntax,,Syn_BubbleSort,1,1,0,1,0,0,1,8,16510,184
p14,Syntax,,Syn_StringPermutation,1,1,0,0,1,0,1,10,18459,341
p14,Syntax,,Syn_DecimalToBinary,1,1,0,1,0,0,1,7,8350,163
p14,Syntax,,Syn_CountSameCharsAtSamePosition,1,1,0,1,0,0,1,13,18283,159
p15,Comprehension,Loop,GreatestCommonDivisor,1,0,1,0,0,0,0,0,60000,
p15,Comprehension,IfElse,YesNo,1,1,0,1,0,0,0,1,48659,372
p15,Comprehension,Recursion,RecursivePower,1,1,0,1,0,0,0,1,16436,373
p15,Comprehension,Loop,ArrayAverage,1,1,0,0,1,1,1,2,59745,161
p15,Comprehension,Loop,isPalindrome,1,1,0,1,0,0,0,1,49904,375
p15,Comprehension,Recursion,RecursiveFactorial,1,1,0,1,0,0,0,1,17483,510
p15,Comprehension,Loop,lengthOfLastWord,1,1,0,0,1,0,0,1,47626,269
p15,Comprehension,Loop,hIndex,1,1,0,1,0,0,0,1,35629,371
p15,Comprehension,Recursion,RecursiveBinaryToDecimal,1,1,0,1,0,0,0,1,56597,384
p15,Comprehension,IfElse,isHurricane,1,1,0,1,0,0,0,1,23920,382
p15,Comprehension,Loop,SquareRoot,1,0,1,0,0,0,0,0,60000,
p15,Comprehension,Recursion,RecursiveFibonacciVariant,1,1,0,1,0,0,0,1,16865,338
p15,Comprehension,Loop,CountVowels,1,1,0,1,0,0,0,1,21746,353
p15,Comprehension,IfElse,DumbSort,1,0,1,0,0,0,0,0,60000,
p15,Comprehension,Loop,ContainsSubstring,1,1,0,1,0,0,0,1,56963,312
p15,Comprehension,Recursion,RecursiveCrossSum,1,1,0,1,0,0,0,1,11026,452
p15,Syntax,,Syn_IntertwineTwoWords,1,1,0,1,0,0,1,8,11595,209
p15,Syntax,,Syn_BubbleSort,1,1,0,1,0,0,1,8,13381,213
p15,Syntax,,Syn_DecimalToBinary,1,1,0,1,0,0,1,7,9654,283
p15,Syntax,,Syn_StringPermutation,1,1,0,1,0,0,1,12,14095,276
p15,Syntax,,Syn_CountSameCharsAtSamePosition,1,1,0,1,0,0,1,13,16236,255
p16,Comprehension,Loop,CountVowels,1,1,0,1,0,0,0,1,28607,236
p16,Comprehension,IfElse,YesNo,1,1,0,1,0,0,0,1,34130,263
p16,Comprehension,Recursion,RecursiveBinaryToDecimal,1,1,0,1,0,0,0,1,31559,310
p16,Comprehension,Loop,SquareRoot,1,0,1,0,0,0,0,0,60000,
p16,Comprehension,IfElse,DumbSort,1,1,0,1,0,0,0,1,20298,276
